transaction_id,amount,payment_method,failure_reason,retry_count,recovery_probability,expected_recovery,action,reason
TXN102883,20716.48,NETBANKING,NETWORK_ERROR,0,17.33,3590.86,DO_NOT_RETRY,Current evidence does not justify another automatic recovery attempt.
TXN102812,22075.27,NETBANKING,NETWORK_ERROR,0,18.0,3973.55,DO_NOT_RETRY,Current evidence does not justify another automatic recovery attempt.
TXN103024,42204.71,WALLET,NETWORK_ERROR,0,43.33,18288.71,RETRY_LATER,"The failure may be temporary, but the recovery probability is moderate."
TXN104383,42492.14,CARD,TIMEOUT,1,92.0,39092.77,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN100267,44513.02,UPI,NETWORK_ERROR,0,15.33,6825.33,DO_NOT_RETRY,Current evidence does not justify another automatic recovery attempt.
TXN103875,23912.28,CARD,TIMEOUT,1,96.67,23115.2,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN103553,25402.54,WALLET,NETWORK_ERROR,0,37.33,9483.61,DO_NOT_RETRY,Current evidence does not justify another automatic recovery attempt.
TXN104601,41240.39,NETBANKING,NETWORK_ERROR,0,80.67,33267.25,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN103881,30604.96,NETBANKING,TIMEOUT,1,93.33,28564.63,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN100606,44045.08,WALLET,TIMEOUT,1,50.0,22022.54,RETRY_LATER,"The failure may be temporary, but the recovery probability is moderate."
TXN103604,26208.91,UPI,NETWORK_ERROR,0,94.0,24636.38,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN103079,26211.4,NETBANKING,TIMEOUT,1,96.67,25337.69,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN104897,28560.71,WALLET,NETWORK_ERROR,0,24.0,6854.57,DO_NOT_RETRY,Current evidence does not justify another automatic recovery attempt.
TXN100142,31019.42,CARD,NETWORK_ERROR,0,90.0,27917.48,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN103482,41571.05,UPI,TIMEOUT,2,14.0,5819.95,DO_NOT_RETRY,Current evidence does not justify another automatic recovery attempt.
TXN103799,35678.86,WALLET,TIMEOUT,2,73.33,26164.5,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN103758,39512.19,NETBANKING,BANK_DECLINE,0,97.33,38458.53,ALTERNATE_METHOD,The bank declined the transaction. Using another payment method may improve the recovery opportunity.
TXN103530,46310.4,WALLET,NETWORK_ERROR,1,91.33,42296.83,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN103923,14744.51,WALLET,TIMEOUT,0,90.0,13270.06,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN103536,36155.14,WALLET,NETWORK_ERROR,1,70.0,25308.6,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN102781,48156.14,NETBANKING,TIMEOUT,2,84.0,40451.16,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN102530,34657.95,CARD,TIMEOUT,2,10.67,3696.85,DO_NOT_RETRY,Current evidence does not justify another automatic recovery attempt.
TXN102544,38211.67,UPI,TIMEOUT,2,20.67,7897.08,DO_NOT_RETRY,Current evidence does not justify another automatic recovery attempt.
TXN101313,30295.72,CARD,TIMEOUT,2,80.0,24236.58,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN101264,27869.6,CARD,BANK_DECLINE,0,77.33,21552.49,ALTERNATE_METHOD,The bank declined the transaction. Using another payment method may improve the recovery opportunity.
TXN103899,36691.33,NETBANKING,NETWORK_ERROR,1,37.33,13698.1,DO_NOT_RETRY,Current evidence does not justify another automatic recovery attempt.
TXN103876,26870.25,NETBANKING,TIMEOUT,2,30.67,8240.21,DO_NOT_RETRY,Current evidence does not justify another automatic recovery attempt.
TXN101971,35851.72,UPI,BANK_DECLINE,0,92.67,33222.59,ALTERNATE_METHOD,The bank declined the transaction. Using another payment method may improve the recovery opportunity.
TXN102089,21765.14,WALLET,BANK_DECLINE,0,13.33,2902.02,CUSTOMER_ACTION,The issuing bank declined the payment. Customer intervention may be required.
TXN101376,23430.37,WALLET,NETWORK_ERROR,1,90.67,21243.54,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN102261,22244.62,CARD,NETWORK_ERROR,1,80.67,17943.99,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN101735,30956.19,UPI,TIMEOUT,2,94.0,29098.82,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN104882,30466.54,WALLET,NETWORK_ERROR,1,21.33,6499.53,DO_NOT_RETRY,Current evidence does not justify another automatic recovery attempt.
TXN101575,41229.56,CARD,NETWORK_ERROR,1,47.33,19515.33,RETRY_LATER,"The failure may be temporary, but the recovery probability is moderate."
TXN101430,44048.12,NETBANKING,NETWORK_ERROR,1,46.0,20262.14,RETRY_LATER,"The failure may be temporary, but the recovery probability is moderate."
TXN102029,32425.99,WALLET,NETWORK_ERROR,1,12.67,4107.29,DO_NOT_RETRY,Current evidence does not justify another automatic recovery attempt.
TXN101752,22964.83,WALLET,BANK_DECLINE,0,15.33,3521.27,CUSTOMER_ACTION,The issuing bank declined the payment. Customer intervention may be required.
TXN104719,39892.16,NETBANKING,NETWORK_ERROR,1,98.0,39094.32,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN102363,11333.26,UPI,TIMEOUT,0,94.67,10728.82,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN102557,39728.81,UPI,NETWORK_ERROR,1,37.33,14832.09,DO_NOT_RETRY,Current evidence does not justify another automatic recovery attempt.
TXN104632,34373.68,UPI,BANK_DECLINE,0,94.0,32311.26,ALTERNATE_METHOD,The bank declined the transaction. Using another payment method may improve the recovery opportunity.
TXN102166,41447.86,NETBANKING,BANK_DECLINE,0,96.67,40066.26,ALTERNATE_METHOD,The bank declined the transaction. Using another payment method may improve the recovery opportunity.
TXN102452,44808.66,UPI,TIMEOUT,2,24.0,10754.08,DO_NOT_RETRY,Current evidence does not justify another automatic recovery attempt.
TXN104616,22841.22,NETBANKING,TIMEOUT,2,22.67,5177.34,DO_NOT_RETRY,Current evidence does not justify another automatic recovery attempt.
TXN103977,25888.0,NETBANKING,BANK_DECLINE,0,92.0,23816.96,ALTERNATE_METHOD,The bank declined the transaction. Using another payment method may improve the recovery opportunity.
TXN104076,28354.62,WALLET,TIMEOUT,2,6.67,1890.31,DO_NOT_RETRY,Current evidence does not justify another automatic recovery attempt.
TXN104223,27999.86,WALLET,TIMEOUT,2,6.67,1866.66,DO_NOT_RETRY,Current evidence does not justify another automatic recovery attempt.
TXN104155,13446.27,WALLET,TIMEOUT,0,46.67,6274.93,RETRY_LATER,"The failure may be temporary, but the recovery probability is moderate."
TXN104192,40617.21,UPI,NETWORK_ERROR,1,80.67,32764.55,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN104308,13825.38,NETBANKING,TIMEOUT,0,91.33,12627.18,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN100789,39896.51,NETBANKING,TIMEOUT,2,38.67,15426.65,DO_NOT_RETRY,Current evidence does not justify another automatic recovery attempt.
TXN104556,46753.16,WALLET,NETWORK_ERROR,1,94.67,44259.66,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN103264,18141.92,WALLET,TIMEOUT,0,94.67,17174.35,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN100864,33452.19,CARD,NETWORK_ERROR,1,44.0,14718.96,RETRY_LATER,"The failure may be temporary, but the recovery probability is moderate."
TXN100888,19785.53,UPI,TIMEOUT,0,86.67,17147.46,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN100622,29441.31,CARD,BANK_DECLINE,0,94.67,27871.11,ALTERNATE_METHOD,The bank declined the transaction. Using another payment method may improve the recovery opportunity.
TXN100609,38569.44,NETBANKING,NETWORK_ERROR,1,94.67,36512.4,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN100570,35200.72,CARD,TIMEOUT,2,11.33,3989.41,DO_NOT_RETRY,Current evidence does not justify another automatic recovery attempt.
TXN103663,20213.74,CARD,BANK_DECLINE,0,24.0,4851.3,CUSTOMER_ACTION,The issuing bank declined the payment. Customer intervention may be required.
TXN103927,33425.24,WALLET,NETWORK_ERROR,1,22.0,7353.55,DO_NOT_RETRY,Current evidence does not justify another automatic recovery attempt.
TXN103953,17996.69,UPI,TIMEOUT,0,43.33,7798.57,RETRY_LATER,"The failure may be temporary, but the recovery probability is moderate."
TXN104450,41377.81,WALLET,TIMEOUT,2,24.67,10206.53,DO_NOT_RETRY,Current evidence does not justify another automatic recovery attempt.
TXN104162,13035.68,UPI,TIMEOUT,0,96.0,12514.25,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN104318,47897.35,UPI,NETWORK_ERROR,1,93.33,44704.19,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN100187,35382.73,WALLET,NETWORK_ERROR,1,32.67,11558.36,DO_NOT_RETRY,Current evidence does not justify another automatic recovery attempt.
TXN100395,41666.76,CARD,BANK_DECLINE,0,34.67,14444.48,CUSTOMER_ACTION,The issuing bank declined the payment. Customer intervention may be required.
TXN104311,36912.2,NETBANKING,NETWORK_ERROR,1,80.0,29529.76,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN104416,34710.61,WALLET,BANK_DECLINE,0,86.0,29851.12,ALTERNATE_METHOD,The bank declined the transaction. Using another payment method may improve the recovery opportunity.
TXN104246,35865.02,WALLET,NETWORK_ERROR,1,70.67,25344.61,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN104147,37710.06,UPI,BANK_DECLINE,0,88.67,33436.25,ALTERNATE_METHOD,The bank declined the transaction. Using another payment method may improve the recovery opportunity.
TXN104296,42445.11,NETBANKING,NETWORK_ERROR,1,89.33,37917.63,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN100352,32230.24,NETBANKING,BANK_DECLINE,0,98.0,31585.64,ALTERNATE_METHOD,The bank declined the transaction. Using another payment method may improve the recovery opportunity.
TXN104102,33551.56,UPI,BANK_DECLINE,0,95.33,31985.82,ALTERNATE_METHOD,The bank declined the transaction. Using another payment method may improve the recovery opportunity.
TXN104436,38660.45,NETBANKING,BANK_DECLINE,0,98.67,38144.98,ALTERNATE_METHOD,The bank declined the transaction. Using another payment method may improve the recovery opportunity.
TXN100082,16960.76,WALLET,TIMEOUT,0,92.67,15716.97,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN104840,25675.49,NETBANKING,BANK_DECLINE,0,90.67,23279.11,ALTERNATE_METHOD,The bank declined the transaction. Using another payment method may improve the recovery opportunity.
TXN101733,15107.93,WALLET,TIMEOUT,0,90.67,13697.86,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN104933,44907.64,CARD,NETWORK_ERROR,1,88.0,39518.72,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN101573,27295.93,NETBANKING,TIMEOUT,2,77.33,21108.85,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN101845,28169.33,WALLET,NETWORK_ERROR,1,74.67,21033.1,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN101873,37668.26,CARD,NETWORK_ERROR,1,96.67,36412.65,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN101658,27526.88,WALLET,NETWORK_ERROR,1,81.33,22388.53,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN102345,48616.46,NETBANKING,NETWORK_ERROR,1,96.67,46995.91,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN101424,24609.38,UPI,NETWORK_ERROR,1,66.67,16406.25,RETRY_LATER,"The failure may be temporary, but the recovery probability is moderate."
TXN101291,49031.37,NETBANKING,NETWORK_ERROR,1,94.67,46416.36,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN101414,24525.12,NETBANKING,NETWORK_ERROR,1,88.0,21582.11,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN102271,22357.56,CARD,NETWORK_ERROR,1,42.67,9539.23,RETRY_LATER,"The failure may be temporary, but the recovery probability is moderate."
TXN101254,47766.99,NETBANKING,TIMEOUT,2,84.0,40124.27,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN103098,19117.04,CARD,TIMEOUT,0,94.0,17970.02,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN103203,47779.95,NETBANKING,BANK_DECLINE,0,76.67,36631.3,ALTERNATE_METHOD,The bank declined the transaction. Using another payment method may improve the recovery opportunity.
TXN103180,29804.33,WALLET,TIMEOUT,2,18.67,5563.47,DO_NOT_RETRY,Current evidence does not justify another automatic recovery attempt.
TXN101111,27237.39,CARD,BANK_DECLINE,0,42.0,11439.7,CUSTOMER_ACTION,The issuing bank declined the payment. Customer intervention may be required.
TXN101110,27303.5,WALLET,TIMEOUT,2,8.67,2366.3,DO_NOT_RETRY,Current evidence does not justify another automatic recovery attempt.
TXN102651,42322.74,CARD,NETWORK_ERROR,1,38.0,16082.64,DO_NOT_RETRY,Current evidence does not justify another automatic recovery attempt.
TXN102862,37472.69,NETBANKING,BANK_DECLINE,0,98.0,36723.24,ALTERNATE_METHOD,The bank declined the transaction. Using another payment method may improve the recovery opportunity.
TXN102709,37588.85,CARD,NETWORK_ERROR,1,96.67,36335.89,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN102700,32176.93,UPI,TIMEOUT,2,90.67,29173.75,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN103989,38697.73,CARD,BANK_DECLINE,1,12.67,4901.71,CUSTOMER_ACTION,The issuing bank declined the payment. Customer intervention may be required.
TXN103943,23486.48,UPI,NETWORK_ERROR,2,74.67,17536.57,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN103355,32343.76,CARD,TIMEOUT,3,33.33,10781.25,STOP_RETRYING,Multiple previous retries detected. Further retries may have low value.
TXN100687,22786.98,CARD,TIMEOUT,3,74.0,16862.37,STOP_RETRYING,Multiple previous retries detected. Further retries may have low value.
TXN100684,23298.1,NETBANKING,TIMEOUT,3,16.67,3883.02,STOP_RETRYING,Multiple previous retries detected. Further retries may have low value.
TXN103910,45025.38,UPI,TIMEOUT,3,16.0,7204.06,STOP_RETRYING,Multiple previous retries detected. Further retries may have low value.
TXN103730,42519.62,UPI,BANK_DECLINE,1,77.33,32881.84,ALTERNATE_METHOD,The bank declined the transaction. Using another payment method may improve the recovery opportunity.
TXN103489,46336.65,CARD,LIMIT_EXCEEDED,0,94.0,43556.45,ALTERNATE_METHOD,The current payment route may not accept another attempt. Suggest another method.
TXN103490,22239.67,CARD,TIMEOUT,3,28.67,6375.37,STOP_RETRYING,Multiple previous retries detected. Further retries may have low value.
TXN103241,15339.85,NETBANKING,TIMEOUT,1,84.0,12885.47,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN104346,25938.9,CARD,BANK_DECLINE,1,33.33,8646.3,CUSTOMER_ACTION,The issuing bank declined the payment. Customer intervention may be required.
TXN104334,30506.74,CARD,BANK_DECLINE,1,80.0,24405.39,ALTERNATE_METHOD,The bank declined the transaction. Using another payment method may improve the recovery opportunity.
TXN100193,39248.79,UPI,NETWORK_ERROR,2,89.33,35062.25,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN100179,26141.66,CARD,NETWORK_ERROR,2,78.0,20390.49,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN104295,49968.25,WALLET,TIMEOUT,3,28.67,14324.23,STOP_RETRYING,Multiple previous retries detected. Further retries may have low value.
TXN104250,21738.5,UPI,NETWORK_ERROR,2,12.67,2753.54,DO_NOT_RETRY,Current evidence does not justify another automatic recovery attempt.
TXN104286,20046.71,CARD,LIMIT_EXCEEDED,0,87.33,17507.46,ALTERNATE_METHOD,The current payment route may not accept another attempt. Suggest another method.
TXN100313,27262.9,WALLET,NETWORK_ERROR,2,19.33,5270.83,DO_NOT_RETRY,Current evidence does not justify another automatic recovery attempt.
TXN100056,36315.29,WALLET,TIMEOUT,3,31.33,11378.79,STOP_RETRYING,Multiple previous retries detected. Further retries may have low value.
TXN100092,20079.11,CARD,LIMIT_EXCEEDED,0,34.67,6960.76,ALTERNATE_METHOD,The current payment route may not accept another attempt. Suggest another method.
TXN104986,42809.12,UPI,BANK_DECLINE,1,36.67,15696.68,CUSTOMER_ACTION,The issuing bank declined the payment. Customer intervention may be required.
TXN100044,18052.38,UPI,TIMEOUT,1,82.67,14923.3,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN100040,45685.33,CARD,NETWORK_ERROR,2,4.0,1827.41,DO_NOT_RETRY,Current evidence does not justify another automatic recovery attempt.
TXN100325,32938.7,WALLET,LIMIT_EXCEEDED,0,76.67,25253.0,ALTERNATE_METHOD,The current payment route may not accept another attempt. Suggest another method.
TXN104451,47179.68,CARD,LIMIT_EXCEEDED,0,96.0,45292.49,ALTERNATE_METHOD,The current payment route may not accept another attempt. Suggest another method.
TXN104454,49182.06,NETBANKING,NETWORK_ERROR,2,15.33,7541.25,DO_NOT_RETRY,Current evidence does not justify another automatic recovery attempt.
TXN100304,41249.49,UPI,TIMEOUT,3,66.0,27224.66,STOP_RETRYING,Multiple previous retries detected. Further retries may have low value.
TXN100283,41152.18,WALLET,NETWORK_ERROR,2,79.33,32647.4,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN100438,45714.49,NETBANKING,BANK_DECLINE,1,11.33,5180.98,CUSTOMER_ACTION,The issuing bank declined the payment. Customer intervention may be required.
TXN104163,37129.5,UPI,NETWORK_ERROR,2,76.0,28218.42,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN100541,36088.88,NETBANKING,BANK_DECLINE,1,22.67,8180.15,CUSTOMER_ACTION,The issuing bank declined the payment. Customer intervention may be required.
TXN100529,12071.23,NETBANKING,NETWORK_ERROR,0,43.33,5230.87,RETRY_LATER,"The failure may be temporary, but the recovery probability is moderate."
TXN100439,31327.48,WALLET,LIMIT_EXCEEDED,0,36.0,11277.89,ALTERNATE_METHOD,The current payment route may not accept another attempt. Suggest another method.
TXN100593,13031.27,NETBANKING,NETWORK_ERROR,0,42.0,5473.13,RETRY_LATER,"The failure may be temporary, but the recovery probability is moderate."
TXN100689,45443.42,WALLET,LIMIT_EXCEEDED,0,38.0,17268.5,ALTERNATE_METHOD,The current payment route may not accept another attempt. Suggest another method.
TXN103816,28737.95,UPI,NETWORK_ERROR,2,40.0,11495.18,RETRY_LATER,"The failure may be temporary, but the recovery probability is moderate."
TXN100716,43539.89,WALLET,TIMEOUT,3,23.33,10159.31,STOP_RETRYING,Multiple previous retries detected. Further retries may have low value.
TXN100458,16887.14,NETBANKING,TIMEOUT,1,92.67,15648.75,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN103637,22239.18,NETBANKING,NETWORK_ERROR,2,38.0,8450.89,DO_NOT_RETRY,Current evidence does not justify another automatic recovery attempt.
TXN103524,40038.42,NETBANKING,NETWORK_ERROR,2,80.67,32297.66,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN104089,41360.34,CARD,NETWORK_ERROR,2,6.0,2481.62,DO_NOT_RETRY,Current evidence does not justify another automatic recovery attempt.
TXN104127,14934.91,NETBANKING,NETWORK_ERROR,0,62.67,9359.21,RETRY_LATER,"The failure may be temporary, but the recovery probability is moderate."
TXN100905,47543.88,UPI,LIMIT_EXCEEDED,0,86.67,41204.7,ALTERNATE_METHOD,The current payment route may not accept another attempt. Suggest another method.
TXN100878,42595.13,NETBANKING,NETWORK_ERROR,2,31.33,13346.47,DO_NOT_RETRY,Current evidence does not justify another automatic recovery attempt.
TXN100876,19898.72,NETBANKING,TIMEOUT,1,92.67,18439.48,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN100858,41786.08,WALLET,TIMEOUT,3,18.67,7800.07,STOP_RETRYING,Multiple previous retries detected. Further retries may have low value.
TXN104545,22633.05,UPI,TIMEOUT,3,66.67,15088.7,STOP_RETRYING,Multiple previous retries detected. Further retries may have low value.
TXN103308,36008.11,WALLET,TIMEOUT,3,10.67,3840.87,STOP_RETRYING,Multiple previous retries detected. Further retries may have low value.
TXN104595,10869.81,UPI,TIMEOUT,1,34.0,3695.74,DO_NOT_RETRY,Current evidence does not justify another automatic recovery attempt.
TXN103585,45867.33,CARD,BANK_DECLINE,1,4.0,1834.69,CUSTOMER_ACTION,The issuing bank declined the payment. Customer intervention may be required.
TXN100783,46077.44,NETBANKING,LIMIT_EXCEEDED,0,70.67,32561.39,ALTERNATE_METHOD,The current payment route may not accept another attempt. Suggest another method.
TXN103387,32445.13,WALLET,NETWORK_ERROR,2,78.0,25307.2,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN103377,47786.42,CARD,BANK_DECLINE,1,8.67,4141.49,CUSTOMER_ACTION,The issuing bank declined the payment. Customer intervention may be required.
TXN100625,44864.39,UPI,LIMIT_EXCEEDED,0,78.0,34994.22,ALTERNATE_METHOD,The current payment route may not accept another attempt. Suggest another method.
TXN103473,36565.19,WALLET,TIMEOUT,3,74.67,27302.01,STOP_RETRYING,Multiple previous retries detected. Further retries may have low value.
TXN101109,44924.67,WALLET,NETWORK_ERROR,2,88.0,39533.71,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN101123,27732.37,UPI,NETWORK_ERROR,2,79.33,22001.01,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN102616,45678.84,UPI,TIMEOUT,3,14.67,6699.56,STOP_RETRYING,Multiple previous retries detected. Further retries may have low value.
TXN101007,25033.1,CARD,LIMIT_EXCEEDED,0,11.33,2837.08,ALTERNATE_METHOD,The current payment route may not accept another attempt. Suggest another method.
TXN101016,45198.63,CARD,NETWORK_ERROR,2,5.33,2410.59,DO_NOT_RETRY,Current evidence does not justify another automatic recovery attempt.
TXN103016,47360.39,CARD,TIMEOUT,3,22.0,10419.29,STOP_RETRYING,Multiple previous retries detected. Further retries may have low value.
TXN103020,47941.39,UPI,LIMIT_EXCEEDED,0,42.0,20135.38,ALTERNATE_METHOD,The current payment route may not accept another attempt. Suggest another method.
TXN103185,33011.64,CARD,LIMIT_EXCEEDED,0,73.33,24208.54,ALTERNATE_METHOD,The current payment route may not accept another attempt. Suggest another method.
TXN103183,30767.94,UPI,BANK_DECLINE,1,35.33,10871.34,CUSTOMER_ACTION,The issuing bank declined the payment. Customer intervention may be required.
TXN100959,31286.16,UPI,BANK_DECLINE,1,82.0,25654.65,ALTERNATE_METHOD,The bank declined the transaction. Using another payment method may improve the recovery opportunity.
TXN100972,10241.73,CARD,NETWORK_ERROR,0,91.33,9354.11,RETRY,The failure appears temporary and the predicted recovery probability is high.
TXN102875,45305.1,WALLET,BANK_DECLINE,1,90.67,41076.62,ALTERNATE_METHOD,The bank declined the transaction. Using another payment method may improve the recovery opportunity.
