transaction_id,customer_id,amount,payment_method,status,failure_reason,transaction_time,retry_count,recovery_score,priority,recommendation
TXN102775,CUST2172,36733.63,UPI,FAILED,TIMEOUT,2026-08-14 07:26:48.314360,0,85,HIGH,This is a high-value transaction. No previous retry has been attempted. Retry the payment because the failure may be temporary.
TXN101336,CUST2595,21381.93,UPI,FAILED,TIMEOUT,2026-08-06 08:34:48.314360,0,85,HIGH,This is a high-value transaction. No previous retry has been attempted. Retry the payment because the failure may be temporary.
TXN102960,CUST6599,42294.42,UPI,FAILED,TIMEOUT,2026-08-15 09:23:48.314360,0,85,HIGH,This is a high-value transaction. No previous retry has been attempted. Retry the payment because the failure may be temporary.
TXN102836,CUST3213,32350.93,CARD,FAILED,TIMEOUT,2026-08-08 21:26:48.314360,0,85,HIGH,This is a high-value transaction. No previous retry has been attempted. Retry the payment because the failure may be temporary.
TXN101035,CUST8540,24329.68,CARD,FAILED,TIMEOUT,2026-08-13 21:06:48.314360,0,85,HIGH,This is a high-value transaction. No previous retry has been attempted. Retry the payment because the failure may be temporary.
TXN102886,CUST1321,29540.5,WALLET,FAILED,TIMEOUT,2026-08-22 10:59:48.314360,0,85,HIGH,This is a high-value transaction. No previous retry has been attempted. Retry the payment because the failure may be temporary.
TXN104008,CUST9601,39296.44,UPI,FAILED,TIMEOUT,2026-08-12 07:42:48.314360,1,80,HIGH,This is a high-value transaction. One retry has already been attempted. Retry the payment because the failure may be temporary.
TXN102944,CUST4109,46494.53,UPI,FAILED,NETWORK_ERROR,2026-08-04 03:37:48.314360,0,80,HIGH,This is a high-value transaction. No previous retry has been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN102227,CUST1272,47449.47,UPI,FAILED,TIMEOUT,2026-07-30 06:01:48.314360,1,80,HIGH,This is a high-value transaction. One retry has already been attempted. Retry the payment because the failure may be temporary.
TXN101302,CUST4655,29843.91,NETBANKING,FAILED,NETWORK_ERROR,2026-08-02 06:21:48.314360,0,80,HIGH,This is a high-value transaction. No previous retry has been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN102253,CUST5836,27364.95,WALLET,FAILED,NETWORK_ERROR,2026-08-25 02:35:48.314360,0,80,HIGH,This is a high-value transaction. No previous retry has been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN102132,CUST9670,32989.23,WALLET,FAILED,TIMEOUT,2026-08-07 05:26:48.314360,1,80,HIGH,This is a high-value transaction. One retry has already been attempted. Retry the payment because the failure may be temporary.
TXN101883,CUST3699,47895.11,NETBANKING,FAILED,NETWORK_ERROR,2026-08-09 04:16:48.314360,0,80,HIGH,This is a high-value transaction. No previous retry has been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN102073,CUST2971,32265.71,UPI,FAILED,TIMEOUT,2026-08-08 04:08:48.314360,1,80,HIGH,This is a high-value transaction. One retry has already been attempted. Retry the payment because the failure may be temporary.
TXN101444,CUST5770,28330.4,UPI,FAILED,NETWORK_ERROR,2026-08-08 21:37:48.314360,0,80,HIGH,This is a high-value transaction. No previous retry has been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN101696,CUST1250,40989.5,WALLET,FAILED,TIMEOUT,2026-08-27 03:51:48.314360,1,80,HIGH,This is a high-value transaction. One retry has already been attempted. Retry the payment because the failure may be temporary.
TXN102387,CUST9060,45841.04,NETBANKING,FAILED,NETWORK_ERROR,2026-08-21 01:38:48.314360,0,80,HIGH,This is a high-value transaction. No previous retry has been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN104779,CUST2975,38313.55,WALLET,FAILED,NETWORK_ERROR,2026-08-18 07:37:48.314360,0,80,HIGH,This is a high-value transaction. No previous retry has been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN102396,CUST8815,31040.21,UPI,FAILED,NETWORK_ERROR,2026-08-28 19:49:48.314360,0,80,HIGH,This is a high-value transaction. No previous retry has been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN102676,CUST4780,38534.7,UPI,FAILED,NETWORK_ERROR,2026-08-06 01:32:48.314360,0,80,HIGH,This is a high-value transaction. No previous retry has been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN102504,CUST6512,29943.85,WALLET,FAILED,TIMEOUT,2026-07-30 12:17:48.314360,1,80,HIGH,This is a high-value transaction. One retry has already been attempted. Retry the payment because the failure may be temporary.
TXN101127,CUST3621,31232.35,NETBANKING,FAILED,TIMEOUT,2026-08-27 16:16:48.314360,1,80,HIGH,This is a high-value transaction. One retry has already been attempted. Retry the payment because the failure may be temporary.
TXN103196,CUST1898,30231.47,WALLET,FAILED,NETWORK_ERROR,2026-08-28 02:09:48.314360,0,80,HIGH,This is a high-value transaction. No previous retry has been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN103170,CUST6021,24953.93,UPI,FAILED,TIMEOUT,2026-08-17 23:14:48.314360,1,80,HIGH,This is a high-value transaction. One retry has already been attempted. Retry the payment because the failure may be temporary.
TXN104823,CUST7119,23370.2,CARD,FAILED,TIMEOUT,2026-08-18 09:12:48.314360,1,80,HIGH,This is a high-value transaction. One retry has already been attempted. Retry the payment because the failure may be temporary.
TXN104839,CUST5152,44017.09,WALLET,FAILED,NETWORK_ERROR,2026-07-30 06:43:48.314360,0,80,HIGH,This is a high-value transaction. No previous retry has been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN101189,CUST4193,42051.48,WALLET,FAILED,NETWORK_ERROR,2026-08-07 22:40:48.314360,0,80,HIGH,This is a high-value transaction. No previous retry has been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN102883,CUST7755,20716.48,NETBANKING,FAILED,NETWORK_ERROR,2026-08-17 05:06:48.314360,0,80,HIGH,This is a high-value transaction. No previous retry has been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN102812,CUST6305,22075.27,NETBANKING,FAILED,NETWORK_ERROR,2026-07-31 17:13:48.314360,0,80,HIGH,This is a high-value transaction. No previous retry has been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN103024,CUST8846,42204.71,WALLET,FAILED,NETWORK_ERROR,2026-08-05 12:39:48.314360,0,80,HIGH,This is a high-value transaction. No previous retry has been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN104383,CUST9916,42492.14,CARD,FAILED,TIMEOUT,2026-08-23 13:56:48.314360,1,80,HIGH,This is a high-value transaction. One retry has already been attempted. Retry the payment because the failure may be temporary.
TXN100267,CUST4961,44513.02,UPI,FAILED,NETWORK_ERROR,2026-08-05 04:58:48.314360,0,80,HIGH,This is a high-value transaction. No previous retry has been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN103875,CUST8710,23912.28,CARD,FAILED,TIMEOUT,2026-07-31 04:18:48.314360,1,80,HIGH,This is a high-value transaction. One retry has already been attempted. Retry the payment because the failure may be temporary.
TXN103553,CUST4398,25402.54,WALLET,FAILED,NETWORK_ERROR,2026-08-07 17:45:48.314360,0,80,HIGH,This is a high-value transaction. No previous retry has been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN104601,CUST3734,41240.39,NETBANKING,FAILED,NETWORK_ERROR,2026-08-07 23:39:48.314360,0,80,HIGH,This is a high-value transaction. No previous retry has been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN103881,CUST4871,30604.96,NETBANKING,FAILED,TIMEOUT,2026-07-30 22:29:48.314360,1,80,HIGH,This is a high-value transaction. One retry has already been attempted. Retry the payment because the failure may be temporary.
TXN100606,CUST5093,44045.08,WALLET,FAILED,TIMEOUT,2026-08-24 07:34:48.314360,1,80,HIGH,This is a high-value transaction. One retry has already been attempted. Retry the payment because the failure may be temporary.
TXN103604,CUST3327,26208.91,UPI,FAILED,NETWORK_ERROR,2026-08-12 07:11:48.314360,0,80,HIGH,This is a high-value transaction. No previous retry has been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN103079,CUST4705,26211.4,NETBANKING,FAILED,TIMEOUT,2026-08-27 20:11:48.314360,1,80,HIGH,This is a high-value transaction. One retry has already been attempted. Retry the payment because the failure may be temporary.
TXN104897,CUST1112,28560.71,WALLET,FAILED,NETWORK_ERROR,2026-08-14 08:12:48.314360,0,80,HIGH,This is a high-value transaction. No previous retry has been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN100142,CUST9349,31019.42,CARD,FAILED,NETWORK_ERROR,2026-08-10 16:02:48.314360,0,80,HIGH,This is a high-value transaction. No previous retry has been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN103482,CUST3766,41571.05,UPI,FAILED,TIMEOUT,2026-08-15 23:54:48.314360,2,75,HIGH,This is a high-value transaction. 2 retries have already been attempted. Retry the payment because the failure may be temporary.
TXN103799,CUST7927,35678.86,WALLET,FAILED,TIMEOUT,2026-08-11 23:54:48.314360,2,75,HIGH,This is a high-value transaction. 2 retries have already been attempted. Retry the payment because the failure may be temporary.
TXN103758,CUST7018,39512.19,NETBANKING,FAILED,BANK_DECLINE,2026-08-05 04:43:48.314360,0,75,HIGH,This is a high-value transaction. No previous retry has been attempted. Avoid immediate repeated retries. Suggest an alternate payment method.
TXN103530,CUST7585,46310.4,WALLET,FAILED,NETWORK_ERROR,2026-08-04 16:34:48.314360,1,75,HIGH,This is a high-value transaction. One retry has already been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN103923,CUST4959,14744.51,WALLET,FAILED,TIMEOUT,2026-08-06 05:52:48.314360,0,75,HIGH,This is a medium-value transaction. No previous retry has been attempted. Retry the payment because the failure may be temporary.
TXN103536,CUST1387,36155.14,WALLET,FAILED,NETWORK_ERROR,2026-08-03 01:50:48.314360,1,75,HIGH,This is a high-value transaction. One retry has already been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN102781,CUST2646,48156.14,NETBANKING,FAILED,TIMEOUT,2026-08-25 01:47:48.314360,2,75,HIGH,This is a high-value transaction. 2 retries have already been attempted. Retry the payment because the failure may be temporary.
TXN102530,CUST5147,34657.95,CARD,FAILED,TIMEOUT,2026-08-19 03:37:48.314360,2,75,HIGH,This is a high-value transaction. 2 retries have already been attempted. Retry the payment because the failure may be temporary.
TXN102544,CUST2852,38211.67,UPI,FAILED,TIMEOUT,2026-08-15 18:31:48.314360,2,75,HIGH,This is a high-value transaction. 2 retries have already been attempted. Retry the payment because the failure may be temporary.
TXN101313,CUST6310,30295.72,CARD,FAILED,TIMEOUT,2026-08-25 10:14:48.314360,2,75,HIGH,This is a high-value transaction. 2 retries have already been attempted. Retry the payment because the failure may be temporary.
TXN101264,CUST9767,27869.6,CARD,FAILED,BANK_DECLINE,2026-07-31 00:29:48.314360,0,75,HIGH,This is a high-value transaction. No previous retry has been attempted. Avoid immediate repeated retries. Suggest an alternate payment method.
TXN103899,CUST1339,36691.33,NETBANKING,FAILED,NETWORK_ERROR,2026-08-23 19:03:48.314360,1,75,HIGH,This is a high-value transaction. One retry has already been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN103876,CUST7653,26870.25,NETBANKING,FAILED,TIMEOUT,2026-08-16 13:38:48.314360,2,75,HIGH,This is a high-value transaction. 2 retries have already been attempted. Retry the payment because the failure may be temporary.
TXN101971,CUST3269,35851.72,UPI,FAILED,BANK_DECLINE,2026-08-17 07:31:48.314360,0,75,HIGH,This is a high-value transaction. No previous retry has been attempted. Avoid immediate repeated retries. Suggest an alternate payment method.
TXN102089,CUST8705,21765.14,WALLET,FAILED,BANK_DECLINE,2026-08-01 04:03:48.314360,0,75,HIGH,This is a high-value transaction. No previous retry has been attempted. Avoid immediate repeated retries. Suggest an alternate payment method.
TXN101376,CUST6725,23430.37,WALLET,FAILED,NETWORK_ERROR,2026-08-24 07:52:48.314360,1,75,HIGH,This is a high-value transaction. One retry has already been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN102261,CUST3007,22244.62,CARD,FAILED,NETWORK_ERROR,2026-08-11 10:02:48.314360,1,75,HIGH,This is a high-value transaction. One retry has already been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN101735,CUST6816,30956.19,UPI,FAILED,TIMEOUT,2026-08-10 12:54:48.314360,2,75,HIGH,This is a high-value transaction. 2 retries have already been attempted. Retry the payment because the failure may be temporary.
TXN104882,CUST5170,30466.54,WALLET,FAILED,NETWORK_ERROR,2026-08-09 05:13:48.314360,1,75,HIGH,This is a high-value transaction. One retry has already been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN101575,CUST9830,41229.56,CARD,FAILED,NETWORK_ERROR,2026-08-23 01:18:48.314360,1,75,HIGH,This is a high-value transaction. One retry has already been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN101430,CUST6924,44048.12,NETBANKING,FAILED,NETWORK_ERROR,2026-08-19 16:33:48.314360,1,75,HIGH,This is a high-value transaction. One retry has already been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN102029,CUST9653,32425.99,WALLET,FAILED,NETWORK_ERROR,2026-07-31 18:18:48.314360,1,75,HIGH,This is a high-value transaction. One retry has already been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN101752,CUST5185,22964.83,WALLET,FAILED,BANK_DECLINE,2026-08-06 18:05:48.314360,0,75,HIGH,This is a high-value transaction. No previous retry has been attempted. Avoid immediate repeated retries. Suggest an alternate payment method.
TXN104719,CUST4670,39892.16,NETBANKING,FAILED,NETWORK_ERROR,2026-08-08 23:49:48.314360,1,75,HIGH,This is a high-value transaction. One retry has already been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN102363,CUST9505,11333.26,UPI,FAILED,TIMEOUT,2026-08-26 02:49:48.314360,0,75,HIGH,This is a medium-value transaction. No previous retry has been attempted. Retry the payment because the failure may be temporary.
TXN102557,CUST3497,39728.81,UPI,FAILED,NETWORK_ERROR,2026-08-05 04:21:48.314360,1,75,HIGH,This is a high-value transaction. One retry has already been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN104632,CUST8033,34373.68,UPI,FAILED,BANK_DECLINE,2026-08-28 03:51:48.314360,0,75,HIGH,This is a high-value transaction. No previous retry has been attempted. Avoid immediate repeated retries. Suggest an alternate payment method.
TXN102166,CUST5016,41447.86,NETBANKING,FAILED,BANK_DECLINE,2026-08-26 03:48:48.314360,0,75,HIGH,This is a high-value transaction. No previous retry has been attempted. Avoid immediate repeated retries. Suggest an alternate payment method.
TXN102452,CUST7081,44808.66,UPI,FAILED,TIMEOUT,2026-08-03 18:44:48.314360,2,75,HIGH,This is a high-value transaction. 2 retries have already been attempted. Retry the payment because the failure may be temporary.
TXN104616,CUST1339,22841.22,NETBANKING,FAILED,TIMEOUT,2026-08-17 15:33:48.314360,2,75,HIGH,This is a high-value transaction. 2 retries have already been attempted. Retry the payment because the failure may be temporary.
TXN103977,CUST9916,25888.0,NETBANKING,FAILED,BANK_DECLINE,2026-07-31 03:22:48.314360,0,75,HIGH,This is a high-value transaction. No previous retry has been attempted. Avoid immediate repeated retries. Suggest an alternate payment method.
TXN104076,CUST9520,28354.62,WALLET,FAILED,TIMEOUT,2026-08-02 15:54:48.314360,2,75,HIGH,This is a high-value transaction. 2 retries have already been attempted. Retry the payment because the failure may be temporary.
TXN104223,CUST9921,27999.86,WALLET,FAILED,TIMEOUT,2026-08-21 21:10:48.314360,2,75,HIGH,This is a high-value transaction. 2 retries have already been attempted. Retry the payment because the failure may be temporary.
TXN104155,CUST6225,13446.27,WALLET,FAILED,TIMEOUT,2026-08-18 06:45:48.314360,0,75,HIGH,This is a medium-value transaction. No previous retry has been attempted. Retry the payment because the failure may be temporary.
TXN104192,CUST1469,40617.21,UPI,FAILED,NETWORK_ERROR,2026-08-24 08:58:48.314360,1,75,HIGH,This is a high-value transaction. One retry has already been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN104308,CUST4250,13825.38,NETBANKING,FAILED,TIMEOUT,2026-07-31 21:59:48.314360,0,75,HIGH,This is a medium-value transaction. No previous retry has been attempted. Retry the payment because the failure may be temporary.
TXN100789,CUST4507,39896.51,NETBANKING,FAILED,TIMEOUT,2026-08-17 10:07:48.314360,2,75,HIGH,This is a high-value transaction. 2 retries have already been attempted. Retry the payment because the failure may be temporary.
TXN104556,CUST6073,46753.16,WALLET,FAILED,NETWORK_ERROR,2026-08-06 04:41:48.314360,1,75,HIGH,This is a high-value transaction. One retry has already been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN103264,CUST2859,18141.92,WALLET,FAILED,TIMEOUT,2026-08-04 02:28:48.314360,0,75,HIGH,This is a medium-value transaction. No previous retry has been attempted. Retry the payment because the failure may be temporary.
TXN100864,CUST1254,33452.19,CARD,FAILED,NETWORK_ERROR,2026-08-10 16:33:48.314360,1,75,HIGH,This is a high-value transaction. One retry has already been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN100888,CUST9940,19785.53,UPI,FAILED,TIMEOUT,2026-08-18 16:33:48.314360,0,75,HIGH,This is a medium-value transaction. No previous retry has been attempted. Retry the payment because the failure may be temporary.
TXN100622,CUST3786,29441.31,CARD,FAILED,BANK_DECLINE,2026-08-19 14:20:48.314360,0,75,HIGH,This is a high-value transaction. No previous retry has been attempted. Avoid immediate repeated retries. Suggest an alternate payment method.
TXN100609,CUST6114,38569.44,NETBANKING,FAILED,NETWORK_ERROR,2026-08-02 17:02:48.314360,1,75,HIGH,This is a high-value transaction. One retry has already been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN100570,CUST4549,35200.72,CARD,FAILED,TIMEOUT,2026-08-05 22:48:48.314360,2,75,HIGH,This is a high-value transaction. 2 retries have already been attempted. Retry the payment because the failure may be temporary.
TXN103663,CUST2304,20213.74,CARD,FAILED,BANK_DECLINE,2026-08-19 10:53:48.314360,0,75,HIGH,This is a high-value transaction. No previous retry has been attempted. Avoid immediate repeated retries. Suggest an alternate payment method.
TXN103927,CUST5663,33425.24,WALLET,FAILED,NETWORK_ERROR,2026-08-05 03:07:48.314360,1,75,HIGH,This is a high-value transaction. One retry has already been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN103953,CUST5353,17996.69,UPI,FAILED,TIMEOUT,2026-08-17 16:11:48.314360,0,75,HIGH,This is a medium-value transaction. No previous retry has been attempted. Retry the payment because the failure may be temporary.
TXN104450,CUST9783,41377.81,WALLET,FAILED,TIMEOUT,2026-08-07 20:23:48.314360,2,75,HIGH,This is a high-value transaction. 2 retries have already been attempted. Retry the payment because the failure may be temporary.
TXN104162,CUST7667,13035.68,UPI,FAILED,TIMEOUT,2026-08-02 09:19:48.314360,0,75,HIGH,This is a medium-value transaction. No previous retry has been attempted. Retry the payment because the failure may be temporary.
TXN104318,CUST7778,47897.35,UPI,FAILED,NETWORK_ERROR,2026-08-02 10:05:48.314360,1,75,HIGH,This is a high-value transaction. One retry has already been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN100187,CUST9039,35382.73,WALLET,FAILED,NETWORK_ERROR,2026-08-10 03:25:48.314360,1,75,HIGH,This is a high-value transaction. One retry has already been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN100395,CUST7514,41666.76,CARD,FAILED,BANK_DECLINE,2026-08-13 22:28:48.314360,0,75,HIGH,This is a high-value transaction. No previous retry has been attempted. Avoid immediate repeated retries. Suggest an alternate payment method.
TXN104311,CUST4977,36912.2,NETBANKING,FAILED,NETWORK_ERROR,2026-08-24 09:17:48.314360,1,75,HIGH,This is a high-value transaction. One retry has already been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN104416,CUST8711,34710.61,WALLET,FAILED,BANK_DECLINE,2026-08-13 05:17:48.314360,0,75,HIGH,This is a high-value transaction. No previous retry has been attempted. Avoid immediate repeated retries. Suggest an alternate payment method.
TXN104246,CUST1801,35865.02,WALLET,FAILED,NETWORK_ERROR,2026-07-31 10:38:48.314360,1,75,HIGH,This is a high-value transaction. One retry has already been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN104147,CUST8081,37710.06,UPI,FAILED,BANK_DECLINE,2026-08-23 07:35:48.314360,0,75,HIGH,This is a high-value transaction. No previous retry has been attempted. Avoid immediate repeated retries. Suggest an alternate payment method.
TXN104296,CUST3041,42445.11,NETBANKING,FAILED,NETWORK_ERROR,2026-08-25 09:00:48.314360,1,75,HIGH,This is a high-value transaction. One retry has already been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN100352,CUST3845,32230.24,NETBANKING,FAILED,BANK_DECLINE,2026-08-13 04:20:48.314360,0,75,HIGH,This is a high-value transaction. No previous retry has been attempted. Avoid immediate repeated retries. Suggest an alternate payment method.
TXN104102,CUST2850,33551.56,UPI,FAILED,BANK_DECLINE,2026-08-28 03:01:48.314360,0,75,HIGH,This is a high-value transaction. No previous retry has been attempted. Avoid immediate repeated retries. Suggest an alternate payment method.
TXN104436,CUST6936,38660.45,NETBANKING,FAILED,BANK_DECLINE,2026-08-21 18:58:48.314360,0,75,HIGH,This is a high-value transaction. No previous retry has been attempted. Avoid immediate repeated retries. Suggest an alternate payment method.
TXN100082,CUST8728,16960.76,WALLET,FAILED,TIMEOUT,2026-08-11 17:56:48.314360,0,75,HIGH,This is a medium-value transaction. No previous retry has been attempted. Retry the payment because the failure may be temporary.
TXN104840,CUST2231,25675.49,NETBANKING,FAILED,BANK_DECLINE,2026-08-01 07:07:48.314360,0,75,HIGH,This is a high-value transaction. No previous retry has been attempted. Avoid immediate repeated retries. Suggest an alternate payment method.
TXN101733,CUST4616,15107.93,WALLET,FAILED,TIMEOUT,2026-08-19 18:11:48.314360,0,75,HIGH,This is a medium-value transaction. No previous retry has been attempted. Retry the payment because the failure may be temporary.
TXN104933,CUST5077,44907.64,CARD,FAILED,NETWORK_ERROR,2026-08-27 00:07:48.314360,1,75,HIGH,This is a high-value transaction. One retry has already been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN101573,CUST2596,27295.93,NETBANKING,FAILED,TIMEOUT,2026-08-19 09:47:48.314360,2,75,HIGH,This is a high-value transaction. 2 retries have already been attempted. Retry the payment because the failure may be temporary.
TXN101845,CUST6409,28169.33,WALLET,FAILED,NETWORK_ERROR,2026-08-19 04:41:48.314360,1,75,HIGH,This is a high-value transaction. One retry has already been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN101873,CUST9961,37668.26,CARD,FAILED,NETWORK_ERROR,2026-08-12 18:53:48.314360,1,75,HIGH,This is a high-value transaction. One retry has already been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN101658,CUST3731,27526.88,WALLET,FAILED,NETWORK_ERROR,2026-08-06 08:49:48.314360,1,75,HIGH,This is a high-value transaction. One retry has already been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN102345,CUST3325,48616.46,NETBANKING,FAILED,NETWORK_ERROR,2026-08-12 03:01:48.314360,1,75,HIGH,This is a high-value transaction. One retry has already been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN101424,CUST9166,24609.38,UPI,FAILED,NETWORK_ERROR,2026-08-13 14:35:48.314360,1,75,HIGH,This is a high-value transaction. One retry has already been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN101291,CUST7855,49031.37,NETBANKING,FAILED,NETWORK_ERROR,2026-08-03 13:00:48.314360,1,75,HIGH,This is a high-value transaction. One retry has already been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN101414,CUST2132,24525.12,NETBANKING,FAILED,NETWORK_ERROR,2026-08-27 14:09:48.314360,1,75,HIGH,This is a high-value transaction. One retry has already been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN102271,CUST5724,22357.56,CARD,FAILED,NETWORK_ERROR,2026-08-23 18:04:48.314360,1,75,HIGH,This is a high-value transaction. One retry has already been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
TXN101254,CUST6048,47766.99,NETBANKING,FAILED,TIMEOUT,2026-08-03 09:38:48.314360,2,75,HIGH,This is a high-value transaction. 2 retries have already been attempted. Retry the payment because the failure may be temporary.
TXN103098,CUST5746,19117.04,CARD,FAILED,TIMEOUT,2026-08-17 20:12:48.314360,0,75,HIGH,This is a medium-value transaction. No previous retry has been attempted. Retry the payment because the failure may be temporary.
TXN103203,CUST8816,47779.95,NETBANKING,FAILED,BANK_DECLINE,2026-08-14 11:14:48.314360,0,75,HIGH,This is a high-value transaction. No previous retry has been attempted. Avoid immediate repeated retries. Suggest an alternate payment method.
TXN103180,CUST5381,29804.33,WALLET,FAILED,TIMEOUT,2026-08-01 04:53:48.314360,2,75,HIGH,This is a high-value transaction. 2 retries have already been attempted. Retry the payment because the failure may be temporary.
TXN101111,CUST8330,27237.39,CARD,FAILED,BANK_DECLINE,2026-08-05 22:01:48.314360,0,75,HIGH,This is a high-value transaction. No previous retry has been attempted. Avoid immediate repeated retries. Suggest an alternate payment method.
TXN101110,CUST6118,27303.5,WALLET,FAILED,TIMEOUT,2026-08-03 20:38:48.314360,2,75,HIGH,This is a high-value transaction. 2 retries have already been attempted. Retry the payment because the failure may be temporary.
TXN102651,CUST3308,42322.74,CARD,FAILED,NETWORK_ERROR,2026-08-08 04:15:48.314360,1,75,HIGH,This is a high-value transaction. One retry has already been attempted. Retry after a short delay because the failure may be caused by a temporary network issue.
